status,class,severity,priority,msg,sub_category,source_identifier,source_address,source_hostname,source_port,delay
OPEN,EVENT,CRITICAL,PRIORITY_1,linkDown - Port 33XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,linkDown - Port 34XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,linkDown - Port 35XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,linkDown - Port 36XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,ISIS_ADJDOWN - Port 33XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,LINK_FLAP - Port 32XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,bgpBackwardTransition - Port 33XX- Communication Failure NTWDC_IPTNJ_DMZ_P01,NETWORK,NTWDC_IPTNJ_DMZ_P01,172.16.30.5,NTWDC_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,bgpBackwardTransition - Port 34XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,bgpBackwardTransition - Port 32XX- Communication Failure NTWDC_IPTNJ_DMZ_P01,NETWORK,NTWDC_IPTNJ_DMZ_P01,172.16.30.5,NTWDC_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,risingAlarm_InFrameErrors - Port 34XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,LINK_FLAP - Port 35XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,risingAlarm_OutQDrops - Port 36XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,LINK_FLAP - Port 33XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,bgpBackwardTransition - Port 32XX- Communication Failure NTWDC_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,risingAlarm_OutQDrops - Port 33XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTWDC_IPTNJ_DMZ_P01,172.16.30.5,NTWDC_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,linkDown - Port 34XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,linkDown - Port 35XX- Communication Failure NTWDC_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,linkDown - Port 36XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTWDC_IPTNJ_DMZ_P01,172.16.30.5,NTWDC_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,linkDown - Port 33XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,linkDown - Port 32XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,linkDown - Port 34XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,ISIS_ADJDOWN - Port 35XX- Communication Failure NTWDC_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,LINK_FLAP - Port 36XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTWDC_IPTNJ_DMZ_P01,172.16.30.5,NTWDC_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,ISIS_ADJDOWN - Port 33XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,ISIS_ADJDOWN - Port 32XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,bgpBackwardTransition - Port 33XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,bgpBackwardTransition - Port 34XX- Communication Failure NTWDC_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,bgpBackwardTransition - Port 32XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTWDC_IPTNJ_DMZ_P01,172.16.30.5,NTWDC_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,bgpBackwardTransition - Port 33XX- Communication Failure NTWDC_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,risingAlarm_OutQDrops - Port 34XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTWDC_IPTNJ_DMZ_P01,172.16.30.5,NTWDC_IPTNJ_DMZ_P01,80,
OPEN,EVENT,CRITICAL,PRIORITY_1,risingAlarm_OutQDrops - Port 34XX- Communication Failure NTW_IPTNJ_DMZ_P01,NETWORK,NTW_IPTNJ_DMZ_P01,172.16.30.12,NTW_IPTNJ_DMZ_P01,80,
